"municipio","poblacion","poblacion_c","concejo_grande","n_concejales","pib_pc","prop_pobres","bancas_2000","mortalidad_infantil","mortalidad_postneonatal","matricula_primaria","ideb","burocratas","proyectos_servicios"
"M0622",30273,-17346,0,9,12.2,0.322,9,20.3,6.9,23.9,4.9,441,34
"M0623",70452,22833,1,10,10.2,0.291,9,16.6,5.5,29.7,4.7,583,56
"M0624",40188,-7431,0,9,7,0.332,9,18.9,8.1,22.1,3.6,610,28
"M0625",29055,-18564,0,9,10.3,0.414,9,20.7,7.5,24.9,4.4,477,39
"M0626",60387,12768,1,10,14.8,0.298,9,17,4.3,24.7,4.2,587,57
"M0627",50619,3000,1,10,10.5,0.34,10,15,3.7,20.9,4.4,639,39
"M0628",65934,18315,1,10,13.2,0.32,9,16.4,4,25.4,4.9,676,48
"M0629",26063,-21556,0,9,7.6,0.345,9,21.3,6.7,20.2,4.7,514,33
"M0630",68255,20636,1,10,12.1,0.27,9,16.3,5.3,31,5,578,47
"M0631",30350,-17269,0,9,8.5,0.365,9,18.7,6.3,26.1,5,474,28
"M0632",25351,-22268,0,9,10.6,0.368,9,19.5,8.9,24.3,4.7,545,37
"M0633",72193,24574,1,10,11.4,0.217,9,17.6,6.5,27.7,4.4,575,40
"M0634",45902,-1717,0,9,15.9,0.331,9,19.7,8.5,25.8,4.4,550,39
"M0635",46353,-1266,0,9,17,0.364,10,19.9,8.1,24.6,4.6,431,43
"M0636",23528,-24091,0,9,13.4,0.417,9,29.3,8.4,20.2,4.6,403,34
"M0637",67430,19811,1,10,15.6,0.342,9,20.2,5.6,29.2,5.7,650,56
"M0638",55259,7640,1,10,11.4,0.264,9,13.8,5.9,25.4,4.4,578,57
"M0639",48015,396,1,10,12.9,0.386,9,16.7,7.6,23.4,4.3,585,50
"M0640",74088,26469,1,10,12.6,0.271,9,16.8,6.7,28.8,4.7,604,59
"M0641",62607,14988,1,10,12.4,0.39,9,14.6,5.8,22.5,4.9,673,54
"M0642",38018,-9601,0,9,12.3,0.408,9,20.8,8.8,26.7,4.2,455,51
"M0643",41984,-5635,0,9,11.5,0.406,9,20.1,8.2,25.2,4.5,387,45
"M0644",50622,3003,1,10,11,0.248,9,16.5,5.2,23.7,4.7,555,25
"M0645",62828,15209,1,10,12.5,0.199,9,17.3,7.1,27.2,4.4,554,45
"M0646",74657,27038,1,10,13.6,0.373,9,16.1,4.7,26,4.8,665,56
"M0647",21222,-26397,0,9,9.2,0.372,9,19.9,7.9,23.6,4.9,479,27
"M0648",41917,-5702,0,9,14.5,0.333,9,23.6,8.2,22.9,4.6,486,18
"M0649",47570,-49,0,9,11,0.364,9,15.9,6.6,21.1,4.9,521,35
"M0650",73920,26301,1,10,11.6,0.343,9,15.7,4.8,27.7,4.4,552,54
"M0651",57962,10343,1,10,12.8,0.248,9,17.4,4.5,25.7,4.6,653,51
"M0652",62455,14836,1,10,8.5,0.375,9,16.6,5.9,20.3,4.7,618,55
"M0653",37978,-9641,0,9,13.3,0.33,9,19.1,6.5,19.6,4.8,378,29
"M0654",39078,-8541,0,9,9.8,0.354,9,21.6,7.1,27.5,4.8,532,40
"M0655",69855,22236,1,10,14.7,0.265,10,17.3,5.7,32.2,3.8,581,57
"M0656",55569,7950,1,10,11.1,0.299,9,14,6.3,26,4.6,621,53
"M0657",52299,4680,1,10,17.9,0.342,9,18.8,6.9,29.7,4.5,536,42
"M0658",55276,7657,1,10,12.9,0.377,9,19.2,4.9,23.7,3.8,595,58
"M0659",41162,-6457,0,9,13.6,0.412,9,23.4,5,23.2,3.4,469,49
"M0660",73071,25452,1,10,12.7,0.281,9,17.6,4,26.5,4.3,665,60
"M0661",57984,10365,1,10,12.8,0.325,9,23.6,3.1,29.9,4.3,594,49
"M0662",51441,3822,1,10,9.9,0.322,9,17,7.8,26.4,5.3,633,48
"M0663",20875,-26744,0,9,12.7,0.487,9,20.8,7.5,20.9,3.6,525,25
"M0664",65432,17813,1,10,12.7,0.328,9,18.9,5,27.8,5.6,671,48
"M0665",32825,-14794,0,9,11.5,0.349,9,24.3,7.5,28.9,4.5,525,40
"M0666",66789,19170,1,10,14.1,0.273,9,17.2,4.9,27.5,3.5,555,42
"M0667",47811,192,1,10,11.7,0.41,10,19,6.7,26.9,4.7,623,54
"M0668",66532,18913,1,10,11.2,0.365,9,16.7,5.4,24.7,4.8,565,55
"M0669",46563,-1056,0,9,12,0.336,9,20.7,4.9,23.7,4.4,482,40
"M0670",54064,6445,1,10,10.3,0.441,9,15,5.4,28.3,4.8,511,51
"M0671",59294,11675,1,10,13,0.403,9,15.7,4.8,29.8,4.4,593,49
"M0672",72870,25251,1,10,11.6,0.421,9,16.5,4,22.8,5.3,583,58
"M0673",42911,-4708,0,9,13.4,0.333,9,18.5,7,21.3,5.1,506,41
"M0674",60518,12899,1,10,12.7,0.389,9,19.6,5.6,34.2,5.2,599,44
"M0675",49058,1439,1,10,14.2,0.314,9,23.4,5.9,24.5,4.7,566,58
"M0676",63711,16092,1,10,11.7,0.376,9,21.5,6.6,34.3,3.9,612,48
"M0677",30797,-16822,0,9,9.1,0.396,9,20.4,5.6,22.8,3.9,417,40
"M0678",34225,-13394,0,9,13.4,0.421,9,20.6,6.1,23.4,3.7,479,47
"M0679",53661,6042,1,10,13.3,0.355,9,21,5.7,21.1,4.2,605,44
"M0680",32409,-15210,0,9,11.1,0.375,10,20.7,8.6,20.7,3.7,436,32
"M0681",39936,-7683,0,9,10.7,0.358,9,19.7,10.9,22.3,4.4,453,41
"M0682",36956,-10663,0,9,11.4,0.386,9,23.9,7.2,22.2,4,549,40
"M0683",65694,18075,1,10,13.2,0.276,9,15.5,2.7,26.7,5.1,666,51
"M0684",50175,2556,1,10,11.8,0.361,10,18.4,4.5,27,4.5,606,54
"M0685",52681,5062,1,10,11.5,0.329,9,19.5,6.8,23,4.2,511,49
"M0686",44244,-3375,0,9,12.4,0.276,9,22.7,9.2,22.5,4.1,483,43
"M0687",65346,17727,1,10,13.2,0.309,9,15.6,5.1,29.4,5.1,530,60
"M0688",70857,23238,1,10,12.2,0.248,9,16.1,3.5,28.6,5.7,660,58
"M0689",61068,13449,1,10,15.1,0.318,9,14.9,5.6,27.7,4.9,582,59
"M0690",57419,9800,1,10,12.1,0.259,9,11.6,7.1,23.3,4.2,577,41
"M0691",39607,-8012,0,9,11.1,0.403,9,24.4,6.7,25,4.2,458,50
"M0692",64073,16454,1,10,9.5,0.346,9,18.8,7,29,4.6,629,49
"M0693",48971,1352,1,10,12.3,0.271,9,16.5,7.1,27.7,4.1,568,59
"M0694",74670,27051,1,10,14.1,0.299,10,15.6,3.3,28.9,5.6,657,57
"M0695",47617,-2,0,9,12.1,0.34,9,17.7,8.1,26,4.7,537,29
"M0696",31213,-16406,0,9,8,0.349,9,17.4,7.7,26.1,3.9,508,41
"M0697",42139,-5480,0,9,10.4,0.276,9,17.3,10.1,20.9,5.1,490,39
"M0698",52152,4533,1,10,14.5,0.341,9,16.9,6.7,30.2,4.2,604,47
"M0699",26189,-21430,0,9,10.8,0.453,10,28.1,7.3,24.3,4.4,506,28
"M0700",64245,16626,1,10,12.8,0.357,9,12.2,4.1,29.8,4.6,630,50
"M0701",53689,6070,1,10,10,0.257,9,19.8,5.5,28.5,4.9,560,53
"M0702",54705,7086,1,10,13.8,0.331,9,14.7,6.5,30.9,4.3,547,42
"M0703",25731,-21888,0,9,8.6,0.38,9,21.7,8.5,29.5,4,415,33
"M0704",60498,12879,1,10,14.5,0.233,9,16.4,7,25.7,4.5,522,41
"M0705",71867,24248,1,10,14.6,0.348,9,16.6,5.2,32.7,5.3,618,54
"M0706",56886,9267,1,10,9.5,0.331,9,21.3,3.8,33.5,4.4,676,57
"M0707",62714,15095,1,10,12.7,0.261,10,17.2,4.7,27.5,5.1,611,61
"M0708",21356,-26263,0,9,12.7,0.368,9,19.9,6.2,26.2,4,528,45
"M0709",22874,-24745,0,9,7.7,0.496,9,17.9,9.2,22.7,3.6,422,37
"M0710",31727,-15892,0,9,11.9,0.362,9,20.6,5.5,27.2,5.3,447,51
"M0711",74934,27315,1,10,17.8,0.254,10,16.5,5.3,23.9,4.2,613,50
"M0712",65455,17836,1,10,14.3,0.234,9,18,7.3,30,4.1,631,52
"M0713",27093,-20526,0,9,12.7,0.355,9,20.9,6.6,21.8,4.3,473,37
"M0714",61233,13614,1,10,14.6,0.256,9,17.7,6.8,27.8,4.5,682,46
"M0715",60092,12473,1,10,13,0.191,9,16.7,5.2,24.1,5,666,59
"M0716",29376,-18243,0,9,10.3,0.382,9,21.1,8.1,19.7,4.6,539,32
"M0717",70936,23317,1,10,14.8,0.322,9,12.9,6.4,31.3,5.8,635,49
"M0718",68613,20994,1,10,17.2,0.312,10,16.5,5.9,29.8,4.5,579,54
"M0719",42547,-5072,0,9,10.6,0.314,10,17.3,10.2,21.6,3.8,503,33
"M0720",50114,2495,1,10,12.3,0.354,9,19.6,7.3,26.5,5.2,526,45
"M0721",33836,-13783,0,9,13,0.327,9,21.3,8,22.7,4.6,498,44
"M0722",22512,-25107,0,9,8.3,0.373,9,23.7,7.4,22.4,4,424,35
"M0723",29339,-18280,0,9,9.9,0.279,9,23.3,8.1,22.6,5.2,450,34
"M0724",23015,-24604,0,9,5,0.421,9,28,7.3,22.2,3.9,333,29
"M0725",36915,-10704,0,9,11,0.414,10,19.9,7.7,20.5,3.5,529,41
"M0726",22148,-25471,0,9,11.7,0.499,9,24.9,7.8,23.9,4.5,375,28
"M0727",69579,21960,1,10,13.1,0.355,9,15,3.9,31.3,5.5,644,53
"M0728",48298,679,1,10,12.9,0.305,9,17.1,5,28.4,4.3,572,42
"M0729",32543,-15076,0,9,8.9,0.334,9,20.7,9.8,20.1,4,480,27
"M0730",37397,-10222,0,9,10.2,0.363,10,20.9,5.7,28.8,3.7,485,29
"M0731",21687,-25932,0,9,9.6,0.329,9,19.2,4.9,24.8,3.8,482,41
"M0732",60821,13202,1,10,12.5,0.225,9,13.4,7,24.2,4.1,596,46
"M0733",28535,-19084,0,9,9.2,0.327,9,21.6,6.2,29.3,4.3,485,29
"M0734",26479,-21140,0,9,9.1,0.445,9,23.1,8.8,20.7,4,437,41
"M0735",29413,-18206,0,9,8.8,0.318,9,27.8,8.2,24.8,4.7,461,41
"M0736",71840,24221,1,10,14.1,0.293,9,20.5,5.4,23.7,5,657,53
"M0737",57691,10072,1,10,12.3,0.32,10,19.6,6.4,30.3,4.3,591,39
"M0738",67198,19579,1,10,15.2,0.271,10,16.5,5.7,27.8,4.5,606,49
"M0739",43594,-4025,0,9,11.8,0.441,9,19.2,7.9,26,5.2,512,37
"M0740",21420,-26199,0,9,12,0.409,9,21.7,10,19.6,4,416,31
"M0741",66399,18780,1,10,12.5,0.231,9,18.4,7.9,27,4.2,669,51
"M0742",48543,924,1,10,11.8,0.34,9,15.6,7.6,27.4,4.3,611,56
"M0743",36450,-11169,0,9,11.3,0.309,9,21.5,7.3,20.3,4.6,445,50
"M0744",54220,6601,1,10,14.4,0.27,9,18.4,5.5,19.5,4.3,638,61
"M0745",45580,-2039,0,9,11.2,0.327,9,19.3,7.2,25.6,4.9,539,46
"M0746",44112,-3507,0,9,12.9,0.377,9,18.6,7.6,17.8,4.6,522,34
"M0747",33897,-13722,0,9,8.6,0.339,9,19,6.6,24.6,4,485,41
"M0748",24005,-23614,0,9,7.8,0.413,10,26.4,9.6,19.5,5.1,439,42
"M0749",41564,-6055,0,9,9.6,0.466,9,21.6,7,20.7,4.1,480,41
"M0750",66241,18622,1,10,9.9,0.349,10,19.2,5.4,32.2,5.1,651,51
"M0751",74764,27145,1,10,10.7,0.319,9,9.9,4.4,31.3,4.6,583,52
"M0752",70813,23194,1,10,13.2,0.232,10,14.8,5.5,26.8,5.6,588,40
"M0753",34515,-13104,0,9,9.8,0.39,10,18.7,8.2,20.1,3.5,386,42
"M0754",62015,14396,1,10,15.5,0.282,9,18.5,3.3,20,5,620,51
"M0755",40412,-7207,0,9,12.5,0.445,9,16.6,7.2,27.3,5.8,359,35
"M0756",69700,22081,1,10,13.1,0.285,9,15.3,6.4,31.7,4.3,644,51
"M0757",28921,-18698,0,9,9.9,0.332,9,20.6,7.4,27.6,4.1,447,42
"M0758",73943,26324,1,10,14.4,0.349,10,19.7,5.8,33.2,5.3,626,52
"M0759",72105,24486,1,10,13.2,0.286,9,18.8,6.3,28.1,5.1,651,46
"M0760",25920,-21699,0,9,8.9,0.419,9,20.4,8,21.9,4.5,462,29
"M0761",44014,-3605,0,9,9.9,0.363,9,20.8,8.4,21.8,4.2,436,21
"M0762",64258,16639,1,10,12.1,0.277,10,19.4,6.7,28,4.5,629,67
"M0763",55803,8184,1,10,10.8,0.327,9,17.7,7.6,23.3,4.6,569,55
"M0764",26038,-21581,0,9,9.1,0.328,9,21.1,7.4,24.4,4.7,474,35
"M0765",67935,20316,1,10,16.2,0.39,9,17.1,3.9,25.1,3.4,586,49
"M0766",73273,25654,1,10,12.6,0.334,10,20.3,4,27.1,4.6,583,46
"M0767",73027,25408,1,10,15.7,0.314,9,15.9,5.7,26.7,5.4,613,53
"M0768",71245,23626,1,10,14.4,0.207,9,16.2,5,28.8,4.9,668,56
"M0769",38557,-9062,0,9,12.9,0.435,9,20.6,9.5,24.2,3.9,487,32
"M0770",72565,24946,1,10,13.9,0.301,10,20.2,6.4,27.5,4.5,616,57
"M0771",49959,2340,1,10,11.8,0.378,9,22.7,5.8,27.9,4.4,679,43
"M0772",30528,-17091,0,9,8.7,0.385,9,22.6,8.4,19.8,3.5,534,31
"M0773",70834,23215,1,10,12.8,0.281,9,16.8,3.7,30.9,5,548,55
"M0774",21186,-26433,0,9,8,0.366,9,20,9.9,23.2,4.3,511,35
"M0775",22929,-24690,0,9,8.8,0.387,9,18.6,3.8,27.3,4.7,384,40
"M0776",46281,-1338,0,9,13.7,0.352,9,21.8,7.8,27.9,4.4,467,41
"M0777",65625,18006,1,10,11.6,0.284,9,17.9,4.8,29.6,4.2,575,48
"M0778",20294,-27325,0,9,8.7,0.396,10,28.2,5.5,21,4.9,506,33
"M0779",58101,10482,1,10,11.4,0.361,9,17.7,6.6,23.3,5.2,587,50
"M0780",32278,-15341,0,9,9.2,0.375,10,17.9,6.1,20.6,4.5,492,41
"M0781",56468,8849,1,10,13,0.39,9,18.7,6.8,27.8,5.3,604,57
"M0782",24734,-22885,0,9,13.3,0.458,9,20.3,8.4,17.6,4.2,423,34
"M0783",26773,-20846,0,9,10.9,0.414,9,21.8,3.9,23.3,4.1,466,49
"M0784",44836,-2783,0,9,10.4,0.302,9,15.6,7.5,24.5,4.2,409,32
"M0785",66255,18636,1,10,13.9,0.336,9,14.6,3.4,24.9,4.2,568,55
"M0786",36402,-11217,0,9,10.5,0.401,9,20.9,8,21.9,4.6,431,33
"M0787",21997,-25622,0,9,8.6,0.365,10,18.7,7.7,19.7,4.8,446,34
"M0788",50753,3134,1,10,13.2,0.328,9,16.8,5.5,29,4.1,638,69
"M0789",22075,-25544,0,9,8.7,0.483,9,19.1,8.7,22.6,3.6,368,39
"M0790",24382,-23237,0,9,11.9,0.431,9,19.4,7.4,24.9,4.2,448,37
"M0791",37046,-10573,0,9,9.6,0.371,9,18.8,7,25.5,3.6,513,45
"M0792",60826,13207,1,10,13,0.296,9,13.7,7.8,23.1,4.9,507,48
"M0793",61728,14109,1,10,15.2,0.376,9,19.9,6.2,27.2,4.6,607,55
"M0794",54494,6875,1,10,13.8,0.329,10,22.3,6.4,26,4.5,588,51
"M0795",74589,26970,1,10,11.7,0.286,9,17.4,4,31.6,5.1,651,55
"M0796",20632,-26987,0,9,11.6,0.44,10,26.2,9,25.6,4.2,500,31
"M0797",39023,-8596,0,9,11.5,0.282,9,21.2,6,23.5,3.6,513,38
"M0798",31745,-15874,0,9,11.3,0.396,9,20.9,8,24.2,4,513,19
"M0799",65504,17885,1,10,12.8,0.33,9,17.8,7.6,29.3,4.8,656,47
"M0800",60519,12900,1,10,16.8,0.319,9,18.4,6.1,20.4,4.6,661,54
"M0801",42454,-5165,0,9,15.4,0.287,9,18.2,7.7,23.5,4,536,35
"M0802",28767,-18852,0,9,13.5,0.373,10,16.8,5,21.3,4.7,464,39
"M0803",59570,11951,1,10,13.9,0.383,9,17.8,7.9,24.7,4.4,616,51
"M0804",34471,-13148,0,9,10.6,0.339,9,21.1,5.7,21.9,4.9,501,43
"M0805",52536,4917,1,10,12.2,0.282,9,15.6,5.1,27.7,4.7,611,51
"M0806",20335,-27284,0,9,8.3,0.39,9,24.8,9,25.7,4.1,326,30
"M0807",26801,-20818,0,9,12.3,0.363,10,21.8,9.1,23.3,3.9,468,41
"M0808",38495,-9124,0,9,11.6,0.306,9,21.5,6.4,23,4.8,454,31
"M0809",44410,-3209,0,9,11.1,0.257,9,19.9,7.9,29,5.2,490,41
"M0810",46709,-910,0,9,13.5,0.247,9,23.3,6.2,18.4,5.7,438,53
"M0811",33547,-14072,0,9,10,0.343,10,21.2,6.8,26.8,4.2,545,32
"M0812",28405,-19214,0,9,11.9,0.435,9,19,8.7,18.8,3.8,453,39
"M0813",49605,1986,1,10,12,0.347,9,20.4,3.3,30.3,4.6,610,33
"M0814",36876,-10743,0,9,10.3,0.512,9,17.3,8.4,21.8,3.9,483,31
"M0815",25702,-21917,0,9,10.1,0.416,9,23.4,6.5,25.4,4.6,420,47
"M0816",31487,-16132,0,9,11.1,0.459,9,22.6,6.9,19.5,4.6,395,35
"M0817",40473,-7146,0,9,7.9,0.275,9,18.5,8.5,23.3,4.8,511,34
"M0818",31960,-15659,0,9,9.4,0.412,9,25.3,6.6,19.5,4.7,452,30
"M0819",65886,18267,1,10,14,0.315,9,15.3,5.9,22.5,4.9,611,51
"M0820",54670,7051,1,10,11.1,0.378,9,18.4,5.1,28.1,4.2,550,54
"M0821",72581,24962,1,10,19.1,0.323,9,9.9,5.5,33.4,5.3,640,43
"M0822",66944,19325,1,10,13.2,0.267,9,16.3,3.4,29.7,5,603,47
"M0823",37556,-10063,0,9,10.9,0.391,9,23.1,7.6,18.4,4.8,466,39
"M0824",33096,-14523,0,9,13.7,0.355,9,15.5,9,26.7,4.1,543,51
"M0825",27162,-20457,0,9,12.1,0.36,9,20.8,6.8,17.5,4.5,479,37
"M0826",66249,18630,1,10,15.8,0.351,9,14.6,6.1,31.5,4.3,598,45
"M0827",28436,-19183,0,9,11.6,0.381,9,20.1,7.3,21.7,4,421,38
"M0828",44143,-3476,0,9,11.3,0.286,9,18.4,8.8,19.5,5.1,422,37
"M0829",27781,-19838,0,9,11.6,0.346,9,23.4,8.1,23.9,4.3,426,27
"M0830",72424,24805,1,10,17.2,0.289,9,17.3,5.7,27.1,5.3,601,48
"M0831",49711,2092,1,10,12,0.325,9,18.6,7.6,23.8,4.7,636,55
"M0832",47823,204,1,10,11.3,0.409,9,18.2,4.2,23.9,4.4,547,45
"M0833",22584,-25035,0,9,9.3,0.333,9,20.4,7.4,27.2,4.2,454,33
"M0834",63765,16146,1,10,11.4,0.246,9,19.9,4.3,30.7,4.3,616,56
"M0835",30945,-16674,0,9,11.3,0.405,9,19.1,7.2,24.5,4.9,490,36
"M0836",44513,-3106,0,9,11.7,0.23,9,20.7,8.4,21.7,4.5,362,48
"M0837",25463,-22156,0,9,10.5,0.384,9,16.6,8,19.2,3.7,419,40
"M0838",68616,20997,1,10,15.4,0.332,9,13.9,6.6,28.8,5.3,574,45
"M0839",40110,-7509,0,9,11.1,0.326,9,18.7,10,24.9,4.6,518,36
"M0840",40879,-6740,0,9,11.9,0.442,9,19.4,6,25.8,4.8,503,34
"M0841",53097,5478,1,10,11.9,0.44,9,14.6,4.7,29.1,4.5,637,50
"M0842",70927,23308,1,10,15.3,0.329,9,11.8,4.3,30.5,4.5,623,55
"M0843",67399,19780,1,10,14.5,0.338,9,18,4.3,23.7,3.6,638,46
"M0844",51974,4355,1,10,10.6,0.364,9,18.1,6.3,29.7,3.4,555,56
"M0845",73846,26227,1,10,14.2,0.319,9,17.7,4.5,28.7,5,636,44
"M0846",32646,-14973,0,9,11.1,0.346,9,22.9,7.6,18.6,3.9,420,37
"M0847",68951,21332,1,10,14.5,0.287,9,19.1,6.4,27.2,5.8,628,58
"M0848",36544,-11075,0,9,11.4,0.345,9,23.7,7.3,25.7,4.3,525,49
"M0849",26570,-21049,0,9,10.5,0.394,9,21.1,8.4,22.2,4.3,432,30
"M0850",58525,10906,1,10,11.3,0.346,10,9.8,5.1,26.7,4.2,609,56
"M0851",64311,16692,1,10,12.3,0.29,9,16.2,4.4,32,4.1,610,47
"M0852",61722,14103,1,10,11.6,0.31,9,21,6.9,26.7,4.9,615,56
"M0853",21364,-26255,0,9,12.6,0.5,9,23,6.9,20.2,4.4,436,31
"M0854",40259,-7360,0,9,12.6,0.285,9,18.3,8.7,28.7,3.7,372,36
"M0855",41989,-5630,0,9,11.8,0.222,10,20.2,7.1,25.2,4.1,480,43
"M0856",40366,-7253,0,9,10.2,0.361,9,21.2,9.1,30.9,4.9,529,33
"M0857",60656,13037,1,10,14,0.273,9,18.2,7.5,27.5,4.6,580,65
"M0858",47932,313,1,10,10,0.36,10,17.4,5.7,24.2,3.8,585,60
"M0859",46913,-706,0,9,10.6,0.349,9,21.1,9.7,24.3,4.8,443,32
"M0860",31723,-15896,0,9,9.8,0.307,9,17.8,9.3,22.7,4,414,27
"M0861",36346,-11273,0,9,11.7,0.367,9,25.3,6.6,23.9,4.8,388,38
"M0862",27645,-19974,0,9,11.6,0.387,9,23.6,8.3,20.6,3.8,532,40
"M0863",37204,-10415,0,9,9.7,0.369,9,17.5,8.1,20.3,3.9,486,41
"M0864",50042,2423,1,10,12.5,0.299,9,17.7,5.1,29.5,4.4,581,37
"M0865",27607,-20012,0,9,13.2,0.314,9,20.9,6.8,24.2,3.8,488,40
"M0866",30002,-17617,0,9,6.3,0.416,9,22,6.3,24,4.7,468,42
"M0867",34737,-12882,0,9,12.1,0.43,9,15.5,6.1,25.2,4.8,437,42
"M0868",29895,-17724,0,9,13.1,0.475,9,20.9,7.2,25.1,3.4,526,37
"M0869",58345,10726,1,10,11.8,0.39,9,17.6,7.5,29.1,4.4,587,58
"M0870",47110,-509,0,9,10.3,0.38,10,19.4,7.4,25.1,4.1,510,39
"M0871",51237,3618,1,10,12.6,0.253,9,20.2,6.6,23.5,4.6,620,58
"M0872",62875,15256,1,10,15.7,0.325,9,15.8,7.8,25.2,5,636,43
"M0873",40256,-7363,0,9,11.8,0.322,9,19.7,7.5,24.4,4.7,468,38
"M0874",69529,21910,1,10,14,0.285,9,16,5.2,30.3,4,665,50
"M0875",63017,15398,1,10,12.2,0.196,9,21.5,8.9,27.9,5.1,548,54
"M0876",27910,-19709,0,9,10.1,0.334,9,20.8,7.5,24.9,4.5,361,40
"M0877",65991,18372,1,10,12.8,0.329,9,19.7,7.9,25.3,3.7,631,58
"M0878",43001,-4618,0,9,8.4,0.277,9,16.4,9.2,24.6,4.2,491,43
"M0879",59550,11931,1,10,12.7,0.317,9,16.9,7.9,25.9,5,585,47
"M0880",49082,1463,1,10,14.1,0.319,9,16.8,4.1,31.8,5,627,53
"M0881",52752,5133,1,10,11.1,0.369,9,14.2,7.4,28.5,5,618,48
"M0882",66351,18732,1,10,13.5,0.331,9,20.5,8.1,28.7,4.7,610,51
"M0883",57944,10325,1,10,11.2,0.284,9,17.4,6.6,30.3,4.1,620,58
"M0884",68303,20684,1,10,12.1,0.281,9,15.9,5.8,28,4.4,601,51
"M0885",37460,-10159,0,9,12.1,0.337,9,15.4,5.3,18.7,4,460,36
"M0886",71652,24033,1,10,15.2,0.315,10,18.9,5.8,30.4,4.8,593,47
"M0887",44760,-2859,0,9,10.9,0.409,10,19.8,4.2,27.2,3.5,433,35
"M0888",24515,-23104,0,9,9,0.372,9,21.8,6.5,23.3,4.3,444,31
"M0889",29007,-18612,0,9,9.7,0.473,9,17.1,4.8,26.5,3.8,366,45
"M0890",49128,1509,1,10,14.2,0.357,10,24.3,6.7,26.1,4.5,547,37
"M0891",54878,7259,1,10,14.7,0.269,10,14.1,7.6,30.6,4.7,528,45
"M0892",28113,-19506,0,9,6.8,0.487,10,16.2,8.4,27.7,4.9,397,30
"M0893",30998,-16621,0,9,7.1,0.332,9,18.2,6.3,25.3,4.5,395,25
"M0894",43410,-4209,0,9,11.3,0.393,9,16.7,8.1,21.9,3.8,493,37
"M0895",74580,26961,1,10,15.2,0.333,9,16.7,5.8,32.3,5.1,542,45
"M0896",32128,-15491,0,9,13.7,0.387,9,22.7,7.9,18,4.6,398,40
"M0897",47575,-44,0,9,13.7,0.313,9,20.1,6.4,28.4,4.2,501,41
"M0898",48038,419,1,10,12.8,0.305,9,23.1,6.4,28,4.3,565,33
"M0899",43412,-4207,0,9,13.2,0.493,10,23.1,6.8,19.1,4.1,475,31
"M0900",40253,-7366,0,9,10.5,0.348,9,22.9,6.4,23.1,4.7,477,20
"M0901",48244,625,1,10,12.2,0.394,10,16.5,5.9,26.1,5.1,546,45
"M0902",22546,-25073,0,9,12.7,0.428,9,19.9,7.6,29.6,4.4,349,45
"M0903",66185,18566,1,10,12.1,0.352,10,19.5,4.9,28.6,4.9,634,47
"M0904",20720,-26899,0,9,10.9,0.471,9,18.7,7.7,21.6,4.2,487,17
"M0905",54324,6705,1,10,12.5,0.394,9,15.9,2.3,21.6,5.3,594,44
"M0906",71316,23697,1,10,14.4,0.381,9,18.9,4.1,24.7,6,630,46
"M0907",37856,-9763,0,9,11.5,0.356,9,18.8,7.8,22.9,4.9,426,50
"M0908",44029,-3590,0,9,7.9,0.415,9,18.4,8.2,31.7,3.8,503,45
"M0909",24428,-23191,0,9,9.2,0.446,10,22.1,7.1,21.1,4.7,509,33
"M0910",44441,-3178,0,9,12.5,0.363,9,13.5,5.6,21.1,5.5,560,43
"M0911",43271,-4348,0,9,11.2,0.356,10,20.3,6.3,20.1,4.6,534,35
"M0912",57435,9816,1,10,8.5,0.291,9,16.6,4.8,27.7,4.2,562,51
"M0913",59618,11999,1,10,12.1,0.232,9,17.3,5.6,29.8,4.3,600,47
"M0914",39571,-8048,0,9,8.9,0.33,9,21.3,8.1,24.1,5.1,507,43
"M0915",57556,9937,1,10,12.6,0.368,10,17.7,6.4,31.9,4.9,569,29
"M0916",39990,-7629,0,9,10.9,0.362,10,17.6,7.2,24.1,3.5,481,29
"M0917",34598,-13021,0,9,7.1,0.285,9,20.3,8.2,25.5,3.9,428,38
"M0918",40252,-7367,0,9,9.9,0.295,9,21.8,5.9,25,3.6,456,35
"M0919",21272,-26347,0,9,7.3,0.376,9,20.6,5.8,21.8,4.3,451,45
"M0920",72413,24794,1,10,12.4,0.243,10,15.4,5.2,24.6,4.5,621,59
"M0921",26036,-21583,0,9,10.7,0.333,9,22.9,7.6,21.7,4.8,509,36
"M0922",58807,11188,1,10,13.4,0.352,9,18.4,4.5,27.3,4.7,631,52
"M0923",31605,-16014,0,9,8.9,0.336,9,21.6,5.9,23.6,4.1,397,27
"M0924",57401,9782,1,10,13.9,0.351,9,14.6,6.8,29,4.8,623,43
"M0925",64315,16696,1,10,13.5,0.348,9,17.5,3.5,27.1,5,629,57
"M0926",20124,-27495,0,9,7.4,0.391,9,20.3,5.7,21.6,4.4,435,38
"M0927",33182,-14437,0,9,11.5,0.362,9,17.6,7.1,22.1,4.1,521,40
"M0928",59736,12117,1,10,12.3,0.344,9,16.4,6.2,34.4,5.1,548,47
"M0929",41214,-6405,0,9,13.3,0.375,9,24.4,4.9,21.2,4.7,554,46
"M0930",74276,26657,1,10,17.6,0.254,10,19.3,6.3,23.1,4.6,575,56
"M0931",39017,-8602,0,9,11.1,0.336,9,20.6,7,30.3,4.1,507,44
"M0932",74061,26442,1,10,11.8,0.336,9,16.8,4.3,25.2,3.9,614,48
